year,age,gender,geography,befolkning
2004,60,F,Helseregion Midt-Norge,15904
2004,60,F,Helseregion Nord-Norge,11450
2004,60,F,Helseregion Sør-Øst,63742
2004,60,F,Helseregion Vest,21160
2004,60,F,Akershus,12286
2004,60,F,Aust-Agder,2612
2004,60,F,Buskerud,6258
2004,60,F,Finnmark,1658
2004,60,F,Hedmark,5259
2004,60,F,Hordaland,10192
2004,60,F,Møre og Romsdal,5934
2004,60,F,Nordland,6056
2004,60,F,Nord-Trøndelag,3372
2004,60,F,Oppland,5122
2004,60,F,Oslo,11446
2004,60,F,Rogaland,8520
2004,60,F,Sogn og Fjordane,2449
2004,60,F,Sør-Trøndelag,6598
2004,60,F,Telemark,4370
2004,60,F,Troms,3736
2004,60,F,Vest-Agder,3868
2004,60,F,Vestfold,5688
2004,60,F,Østfold,6832
2004,60,M,Hele landet,112290
2004,60,M,Helseregion Midt-Norge,16365
2004,60,M,Helseregion Nord-Norge,12252
2004,60,M,Helseregion Sør-Øst,62389
2004,60,M,Helseregion Vest,21284
2004,60,M,Akershus,12058
2004,60,M,Aust-Agder,2597
2004,60,M,Buskerud,6232
2004,60,M,Finnmark,1865
2004,60,M,Hedmark,5135
2004,60,M,Hordaland,10191
2004,60,M,Møre og Romsdal,6111
2004,60,M,Nordland,6356
2004,60,M,Nord-Trøndelag,3406
2004,60,M,Oppland,4940
2004,60,M,Oslo,11281
2004,60,M,Rogaland,8445
2004,60,M,Sogn og Fjordane,2648
2004,60,M,Sør-Trøndelag,6848
2004,60,M,Telemark,4330
2004,60,M,Troms,4032
2004,60,M,Vest-Agder,3722
2004,60,M,Vestfold,5451
2004,60,M,Østfold,6644
2004,65,F,Hele landet,89458
2004,65,F,Helseregion Midt-Norge,12393
2004,65,F,Helseregion Nord-Norge,9284
2004,65,F,Helseregion Sør-Øst,50762
2004,65,F,Helseregion Vest,17020
2004,65,F,Akershus,9357
2004,65,F,Aust-Agder,2011
2004,65,F,Buskerud,4958
2004,65,F,Finnmark,1382
2004,65,F,Hedmark,4272
2004,65,F,Hordaland,8415
2004,65,F,Møre og Romsdal,4689
2004,65,F,Nordland,5034
2004,65,F,Nord-Trøndelag,2620
2004,65,F,Oppland,4112
2004,65,F,Oslo,8748
2004,65,F,Rogaland,6513
2004,65,F,Sogn og Fjordane,2092
2004,65,F,Sør-Trøndelag,5084
2004,65,F,Telemark,3535
2004,65,F,Troms,2868
2004,65,F,Vest-Agder,3130
2004,65,F,Vestfold,4915
2004,65,F,Østfold,5725
2004,65,M,Hele landet,82736
2004,65,M,Helseregion Midt-Norge,11629
2004,65,M,Helseregion Nord-Norge,9149
2004,65,M,Helseregion Sør-Øst,45853
2004,65,M,Helseregion Vest,16106
2004,65,M,Akershus,8524
2004,65,M,Aust-Agder,2050
2004,65,M,Buskerud,4576
2004,65,M,Finnmark,1453
2004,65,M,Hedmark,3918
2004,65,M,Hordaland,7796
2004,65,M,Møre og Romsdal,4492
