drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2005,40.000,M,113494.555,1.526,575017.438,185.938,2817665.500,52.863,2009110.500,48.707,5007268.000,56.937,1430.333,0.041,6329.581,0.047,2222495.500,33.937,139067.328,19.751,510.820,0.041,3133346.250,252.899,2624112.000,73.619
Hele landet,2005,45.000,F,53770.918,0.784,836898.312,262.032,5487056.000,109.005,3580399.500,81.704,6727911.000,101.236,1515.000,0.038,2705241.750,70.660,1673077.375,31.653,1817.333,0.223,1916772.375,40.173,4978687.500,340.288,4596955.500,158.450
Hele landet,2005,45.000,M,88566.508,1.068,548262.375,177.335,2905787.250,57.358,2306105.750,50.302,9410071.000,103.931,1876.333,0.068,1823.748,0.049,4292822.500,65.946,211595.297,30.145,679.932,0.043,3612416.500,268.351,3149689.250,89.541
Hele landet,2005,50.000,F,32442.262,0.504,902322.062,283.526,5665518.000,119.769,4385294.500,91.903,11453590.000,164.771,8800.126,0.208,6828324.500,190.770,3317419.500,66.515,1452.000,0.168,375992.750,8.897,5811359.000,372.724,5647099.500,202.064
Hele landet,2005,50.000,M,39975.082,0.632,574422.062,186.160,3214110.000,64.458,2819116.750,57.713,16346758.000,178.790,8764.798,0.189,5748.992,0.072,6993793.500,112.945,296251.000,43.975,,,3923182.750,287.067,3686824.000,108.947
Hele landet,2005,55.000,F,11588.250,0.209,1017321.875,303.752,6045305.500,129.309,5865236.000,108.515,18992244.000,244.744,23780.471,0.566,8287905.500,251.004,5929829.000,119.424,822.000,0.142,17970.381,0.472,6821322.000,390.468,6790169.000,240.816
Hele landet,2005,55.000,M,22993.707,0.293,670401.562,205.986,3277848.000,66.300,4160080.000,70.963,26807662.000,276.109,17572.549,0.391,4035.776,0.189,10595778.000,172.566,373293.812,60.086,,,4476213.000,302.605,3910454.500,126.229
Hele landet,2005,60.000,F,12136.666,0.201,920056.375,311.434,4603966.000,122.794,5962365.000,123.120,22778720.000,333.999,34955.508,1.011,5335130.500,220.424,7347174.500,181.270,1756.000,0.117,2920.248,0.109,6148291.000,389.960,5982471.500,266.046
Hele landet,2005,60.000,M,9579.333,0.216,606412.875,225.397,2398750.750,62.469,4554666.500,87.438,30332166.000,374.114,42447.750,1.222,786.000,0.108,11011024.000,233.953,337962.594,74.725,,,3817035.000,302.508,3292691.000,136.603
Hele landet,2005,65.000,F,12656.166,0.337,820585.750,322.200,3476758.250,130.086,5112857.000,131.150,22322480.000,412.023,100797.875,3.649,2843756.000,174.932,7551036.000,246.171,910.000,0.119,1463.034,0.087,4928611.000,395.297,5439207.000,317.769
Hele landet,2005,65.000,M,6266.208,0.197,510402.375,241.161,1597010.375,61.448,4256765.500,106.133,26591056.000,453.648,99074.141,3.496,1239.916,0.197,9198332.000,286.645,238411.375,85.307,,,2913311.750,304.519,2840707.250,164.930
Hele landet,2005,70.000,F,7359.083,0.196,821862.812,334.732,3054749.000,132.599,5189596.000,138.490,25732946.000,508.038,251790.922,10.529,1710433.500,129.065,7789697.500,297.180,264.000,0.098,,,4636777.500,406.021,5672805.000,366.996
Hele landet,2005,70.000,M,3825.690,0.157,506456.875,266.042,1320558.375,67.887,4715558.000,131.297,26580286.000,545.230,186141.172,8.711,473.908,0.100,8075690.000,331.026,172205.797,78.415,,,2453658.250,310.213,2787136.250,205.879
Hele landet,2005,75.000,F,2733.333,0.087,969236.562,348.979,3225144.500,146.571,4954419.500,135.018,29826668.000,585.300,517345.250,22.596,1262044.625,102.463,7370600.000,295.735,,,,,4824643.500,424.321,6679670.000,420.894
Hele landet,2005,75.000,M,5112.667,0.162,523801.438,289.096,1340215.500,80.664,4622144.000,144.718,26028046.000,608.021,358846.719,20.037,504.000,0.129,6743266.000,333.791,88959.625,49.979,,,2248054.750,325.340,2947469.750,252.949
Hele landet,2005,80.000,F,1627.333,0.094,1004120.500,348.724,2933052.000,150.197,3563324.250,109.895,29929868.000,629.985,751349.812,37.158,1062468.500,92.328,4896275.500,226.186,,,,,4545838.500,429.219,6826507.000,448.702
Hele landet,2005,80.000,M,3580.667,0.216,449318.875,305.916,1039192.375,89.909,3304520.250,137.808,19862162.000,633.484,421552.094,32.694,,,3801215.250,270.633,35179.332,26.871,,,1684845.375,323.621,2697034.000,293.795
Hele landet,2005,85.000,F,,,693346.000,336.051,1813062.875,149.130,1631528.250,82.127,18957706.000,622.080,536226.188,40.829,655329.312,83.310,1673828.125,123.058,0.000,0.000,,,2927793.500,413.062,4595992.500,442.211
Hele landet,2005,85.000,M,1703.333,0.255,273535.312,319.532,544045.688,98.252,1323932.500,119.676,9452007.000,632.106,244300.922,39.199,,,1053762.750,157.220,6312.000,10.309,0.000,0.000,845750.188,319.065,1518503.500,324.071
Hele landet,2005,90.000,F,,,329391.031,285.163,640206.250,107.839,450398.250,46.769,7431113.500,511.740,149091.359,23.824,270904.000,61.950,207773.250,31.205,0.000,0.000,,,1226053.750,343.059,2005893.375,362.371
Hele landet,2005,90.000,M,,,112847.227,311.679,163582.562,83.571,293009.156,81.630,2570115.000,537.961,58050.652,25.231,,,115372.836,47.608,307.300,2.512,0.000,0.000,296064.531,298.208,567921.062,320.128
Hele landet,2006,,F,2028033.000,2.304,14824932.000,285.303,54669040.000,78.214,56014828.000,89.345,211348160.000,157.323,2428569.750,3.744,29909768.000,65.535,55867316.000,71.840,20703.357,0.083,89018816.000,128.181,60929764.000,259.988,65158168.000,150.504
Hele landet,2006,,M,5369232.000,5.835,9254939.000,201.932,28768960.000,41.457,47444136.000,78.800,215484320.000,142.432,1473054.125,2.234,48940.727,0.073,74404496.000,84.036,2306357.500,24.733,12616.382,0.053,36708352.000,199.162,37569728.000,81.347
Hele landet,2006,0.000,F,612.667,0.063,259931.672,260.960,,,1123833.000,191.641,6259.400,0.669,0.000,0.000,5212.500,0.496,,,0.000,0.000,,,6524.920,8.272,28763.766,5.510
Hele landet,2006,0.000,M,2324.863,0.121,303316.812,277.253,,,1874802.750,235.408,7890.467,0.641,0.000,0.000,0.000,0.000,,,0.000,0.000,,,6242.003,9.590,49214.148,7.266
Hele landet,2006,5.000,F,120835.688,2.739,270791.062,189.300,1058.333,0.075,1131468.250,84.076,15076.667,0.598,0.000,0.000,1275.000,0.102,,,,,,,21344.053,10.064,155412.750,4.920
Hele landet,2006,5.000,M,525889.688,10.607,237102.688,166.379,4441.500,0.220,1885697.750,113.734,15288.900,0.615,0.000,0.000,,,,,0.000,0.000,,,19690.514,11.073,413582.031,8.288
Hele landet,2006,10.000,F,456189.844,8.612,258308.344,126.940,40142.680,1.196,1089936.125,55.642,35802.703,1.242,0.000,0.000,70831.297,0.657,3951.952,0.138,,,147451.922,5.696,104027.359,32.006,257085.828,6.734
Hele landet,2006,10.000,M,1972189.125,30.494,216466.266,107.990,58343.328,1.539,1870910.625,79.724,38442.652,1.235,0.000,0.000,,,3527.333,0.124,,,,,74769.859,23.662,666634.688,11.505
Hele landet,2006,15.000,F,515734.344,9.832,757914.938,268.913,567503.812,17.156,1209996.500,59.924,80577.164,3.495,0.000,0.000,55488.438,1.274,20341.881,0.574,,,18917700.000,437.801,468046.500,125.725,268493.562,18.290
Hele landet,2006,15.000,M,1388870.625,21.830,669015.562,169.429,299626.312,7.854,1281974.125,51.382,70850.188,2.182,0.000,0.000,,,24896.428,0.787,936.000,0.349,1271.641,0.070,260540.594,80.838,343130.125,12.067
Hele landet,2006,20.000,F,161681.500,3.443,796575.500,331.878,1549878.125,44.484,1060821.875,53.782,162727.625,7.204,0.000,0.000,50968.387,2.057,63836.191,1.371,2356.000,0.066,23788572.000,563.581,742882.438,191.378,408839.812,43.459
