drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2004,25,M,Aust-Agder,10,3.147,3178,63672.809,4810
ADHD-midler,2004,25,M,Buskerud,25,3.577,6990,167352,7874.858
ADHD-midler,2004,25,M,Finnmark,,,2277,,
ADHD-midler,2004,25,M,Hedmark,7,1.388,5042,29475.199,3563.667
ADHD-midler,2004,25,M,Hordaland,26,1.730,15029,120052.398,11810.666
ADHD-midler,2004,25,M,Møre og Romsdal,21,2.957,7101,49534.898,4722.167
ADHD-midler,2004,25,M,Nordland,14,2.086,6712,39161.699,2759.917
ADHD-midler,2004,25,M,Nord-Trøndelag,8,2.394,3342,29688.199,3506.667
ADHD-midler,2004,25,M,Oppland,8,1.601,4997,31024.301,3374
ADHD-midler,2004,25,M,Oslo,29,1.203,24104,131330.281,9688.720
ADHD-midler,2004,25,M,Rogaland,20,1.499,13338,101413,8474.500
ADHD-midler,2004,25,M,Sogn og Fjordane,7,2.335,2998,39858,3419.500
ADHD-midler,2004,25,M,Sør-Trøndelag,16,1.695,9440,53254,6124.667
ADHD-midler,2004,25,M,Telemark,22,4.556,4829,113387.500,8773.333
ADHD-midler,2004,25,M,Troms,6,1.256,4776,18953.600,1453.333
ADHD-midler,2004,25,M,Vest-Agder,25,4.911,5091,115304.250,7686.417
ADHD-midler,2004,25,M,Vestfold,29,4.731,6130,265276.219,11723.896
ADHD-midler,2004,25,M,Østfold,14,1.874,7472,63432.199,5422
ADHD-midler,2004,30,F,Akershus,10,0.560,17860,26694.900,3612.667
ADHD-midler,2004,30,F,Aust-Agder,6,1.770,3390,39143.102,3007.333
ADHD-midler,2004,30,F,Buskerud,9,1.042,8638,34364.531,3661.300
ADHD-midler,2004,30,F,Finnmark,,,2818,,
ADHD-midler,2004,30,F,Hedmark,,,5892,,
ADHD-midler,2004,30,F,Hordaland,9,0.557,16171,22324.779,2480.900
ADHD-midler,2004,30,F,Møre og Romsdal,13,1.722,7550,28037.080,3673.333
ADHD-midler,2004,30,F,Nordland,,,7526,,
ADHD-midler,2004,30,F,Nord-Trøndelag,7,1.778,3937,32827,3597.333
ADHD-midler,2004,30,F,Oppland,,,5886,,
ADHD-midler,2004,30,F,Oslo,21,0.743,28258,98346,8359.333
ADHD-midler,2004,30,F,Rogaland,11,0.768,14330,34692.199,2798.233
ADHD-midler,2004,30,F,Sogn og Fjordane,,,3248,,
ADHD-midler,2004,30,F,Sør-Trøndelag,6,0.601,9986,21249.400,2361.333
ADHD-midler,2004,30,F,Telemark,5,0.920,5432,26372.801,1438.125
ADHD-midler,2004,30,F,Troms,,,5618,,
ADHD-midler,2004,30,F,Vest-Agder,,,5508,,
ADHD-midler,2004,30,F,Vestfold,19,2.586,7348,153275.594,10352.702
ADHD-midler,2004,30,F,Østfold,6,0.671,8944,16020.300,1885
ADHD-midler,2004,30,M,Akershus,26,1.552,16752,101363.359,7004.205
ADHD-midler,2004,30,M,Aust-Agder,10,2.838,3524,65946.898,4196.667
ADHD-midler,2004,30,M,Buskerud,13,1.476,8810,156526.797,6204.083
ADHD-midler,2004,30,M,Finnmark,5,1.730,2890,42353.699,2869.333
ADHD-midler,2004,30,M,Hedmark,11,1.880,5850,43387.840,5549.667
ADHD-midler,2004,30,M,Hordaland,15,0.881,17024,32627.756,3728
ADHD-midler,2004,30,M,Møre og Romsdal,18,2.219,8113,89727.945,8104.333
ADHD-midler,2004,30,M,Nordland,15,2.007,7472,113479.703,6077.708
ADHD-midler,2004,30,M,Nord-Trøndelag,12,2.983,4023,45380.359,4224.533
ADHD-midler,2004,30,M,Oppland,6,0.982,6111,23105.400,2188.667
ADHD-midler,2004,30,M,Oslo,15,0.508,29526,79006.203,4304.667
ADHD-midler,2004,30,M,Rogaland,13,0.878,14813,68674,6862
ADHD-midler,2004,30,M,Sogn og Fjordane,,,3376,,
ADHD-midler,2004,30,M,Sør-Trøndelag,25,2.376,10520,111495.922,8447.500
ADHD-midler,2004,30,M,Telemark,9,1.588,5666,91001.203,5972.333
ADHD-midler,2004,30,M,Troms,5,0.842,5937,6800.050,1166.667
ADHD-midler,2004,30,M,Vest-Agder,24,4.218,5690,136677.094,7543
ADHD-midler,2004,30,M,Vestfold,18,2.491,7226,139546.578,6089.642
ADHD-midler,2004,30,M,Østfold,14,1.563,8957,78652.289,7512.417
ADHD-midler,2004,35,F,Akershus,10,0.471,21244,59754.801,4668.667
ADHD-midler,2004,35,F,Aust-Agder,7,1.933,3622,42307.102,3443.667
ADHD-midler,2004,35,F,Buskerud,9,0.968,9298,54825.602,3712.333
ADHD-midler,2004,35,F,Finnmark,6,2.147,2795,47282.801,3789.333
ADHD-midler,2004,35,F,Hedmark,,,6490,,
ADHD-midler,2004,35,F,Hordaland,7,0.423,16566,93222.898,9604.666
ADHD-midler,2004,35,F,Møre og Romsdal,5,0.608,8224,26187.900,2384.667
ADHD-midler,2004,35,F,Nordland,,,8411,,
ADHD-midler,2004,35,F,Nord-Trøndelag,6,1.334,4498,38234.301,3733.333
ADHD-midler,2004,35,F,Oppland,,,6484,,
ADHD-midler,2004,35,F,Oslo,20,0.907,22050,59882.699,6923
ADHD-midler,2004,35,F,Rogaland,7,0.469,14920,13612.700,1343.333
ADHD-midler,2004,35,F,Sogn og Fjordane,,,3444,,
ADHD-midler,2004,35,F,Sør-Trøndelag,7,0.673,10408,45445.648,3910.667
ADHD-midler,2004,35,F,Telemark,8,1.346,5943,69434.203,2672.250
ADHD-midler,2004,35,F,Troms,,,5714,,
ADHD-midler,2004,35,F,Vest-Agder,8,1.388,5763,39975.301,1654.583
ADHD-midler,2004,35,F,Vestfold,16,1.945,8226,134274.375,9038.500
ADHD-midler,2004,35,F,Østfold,10,1.031,9696,33710.602,5633.333
ADHD-midler,2004,35,M,Akershus,18,0.882,20419,137986.906,9903.500
ADHD-midler,2004,35,M,Aust-Agder,8,2.136,3746,115784.102,5079.833
ADHD-midler,2004,35,M,Buskerud,18,1.888,9532,171720.250,5756.343
ADHD-midler,2004,35,M,Finnmark,,,3050,,
ADHD-midler,2004,35,M,Hedmark,5,0.728,6868,30855.600,2959.333
ADHD-midler,2004,35,M,Hordaland,12,0.696,17239,63324.902,5181.333
ADHD-midler,2004,35,M,Møre og Romsdal,10,1.134,8818,57760.949,5848.667
ADHD-midler,2004,35,M,Nordland,11,1.233,8923,67519.297,4222.867
ADHD-midler,2004,35,M,Nord-Trøndelag,,,4600,,
ADHD-midler,2004,35,M,Oppland,8,1.175,6810,18068.699,2100
ADHD-midler,2004,35,M,Oslo,16,0.656,24386,117276.453,10187.666
ADHD-midler,2004,35,M,Rogaland,9,0.579,15546,54565.102,6978.667
ADHD-midler,2004,35,M,Sogn og Fjordane,,,3796,,
ADHD-midler,2004,35,M,Sør-Trøndelag,10,0.924,10818,106716.984,8020.315
ADHD-midler,2004,35,M,Telemark,13,2.149,6050,110405.391,5183
ADHD-midler,2004,35,M,Troms,,,6106,,
ADHD-midler,2004,35,M,Vest-Agder,13,2.149,6050,82507,5609.833
ADHD-midler,2004,35,M,Vestfold,12,1.449,8284,65058.102,5871.917
